Start Time,End Time,Premise
2022-04-26T13:00,2022-04-26T15:00,D3
2022-04-26T13:00,2022-04-26T15:00,D34
2022-04-26T13:00,2022-04-26T17:00,4618
2022-04-26T13:00,2022-04-26T17:00,D1
2022-04-26T13:00,2022-04-26T17:00,E1
2022-04-26T13:00,2022-04-26T17:00,E2
2022-04-26T13:00,2022-04-26T17:00,E3
2022-04-26T15:00,2022-04-26T17:00,D1
2022-04-26T15:00,2022-04-26T17:00,D3
2022-04-26T15:00,2022-04-26T17:00,E2
2022-04-26T15:00,2022-04-26T17:00,E3
2022-04-26T15:00,2022-04-26T17:00,D41
2022-04-26T15:00,2022-04-26T18:00,D3
2022-04-26T15:00,2022-04-26T18:00,D35
2022-04-26T15:00,2022-04-26T18:00,E2
2022-04-26T15:00,2022-04-26T19:00,"D/LV5 (Ljusgård, D)"
2022-04-26T15:00,2022-04-26T19:00,D3
2022-04-26T15:00,2022-04-26T19:00,D34
2022-04-26T16:00,2022-04-26T18:00,D3
2022-04-27T08:00,2022-04-27T10:00,D41
2022-04-27T08:00,2022-04-27T10:00,D1
2022-04-27T08:00,2022-04-27T10:00,D2
2022-04-27T08:00,2022-04-27T12:00,D3
2022-04-27T08:00,2022-04-27T12:00,D31
2022-04-27T08:00,2022-04-27T12:00,D33
2022-04-27T08:00,2022-04-27T21:00,5O1Spe (Spelhallen)
2022-04-27T08:00,2022-04-27T21:00,5O2Spo (Sporthallen)
2022-04-27T08:00,2022-04-27T21:00,5O3Mus (Musiksalen)
2022-04-27T08:00,2022-04-27T21:00,5O4Kons (Konsthallen)
2022-04-27T08:00,2022-04-27T21:00,5O5Mat (Matsalen)
2022-04-27T09:00,2022-04-27T17:00,D3
2022-04-27T09:00,2022-04-27T17:00,D37
2022-04-27T10:00,2022-04-27T12:00,D1
2022-04-27T10:00,2022-04-27T12:00,D3
2022-04-27T10:00,2022-04-27T12:00,D35
2022-04-27T10:00,2022-04-27T12:00,D42
2022-04-27T10:00,2022-04-27T12:00,E1
2022-04-27T10:00,2022-04-27T12:00,E3
2022-04-27T10:00,2022-04-27T12:00,E31
2022-04-27T10:00,2022-04-27T12:00,E33
2022-04-27T10:00,2022-04-27T12:00,E35
2022-04-27T10:00,2022-04-27T12:00,E36
2022-04-27T10:00,2022-04-27T12:00,E53
2022-04-27T10:00,2022-04-27T12:00,D1
2022-04-27T10:00,2022-04-27T12:00,D41
2022-04-27T10:00,2022-04-27T12:00,D1
2022-04-27T10:00,2022-04-27T12:00,D3
2022-04-27T10:00,2022-04-27T12:00,D34
2022-04-27T10:00,2022-04-27T12:00,D36 (Gamla styrelserummet)
2022-04-27T10:00,2022-04-27T12:00,D3
2022-04-27T10:00,2022-04-27T12:00,E2
2022-04-27T10:00,2022-04-27T15:00,"D/LV5 (Ljusgård, D)"
2022-04-27T12:00,2022-04-27T16:00,D3
2022-04-27T12:00,2022-04-27T16:00,D36 (Gamla styrelserummet)
2022-04-27T13:00,2022-04-27T15:00,D1
2022-04-27T13:00,2022-04-27T15:00,D2
2022-04-27T13:00,2022-04-27T15:00,E2
2022-04-27T13:00,2022-04-27T15:00,D4448
2022-04-27T13:00,2022-04-27T15:00,D2
2022-04-27T13:00,2022-04-27T15:00,D3
2022-04-27T13:00,2022-04-27T15:00,D33
2022-04-27T13:00,2022-04-27T15:00,E3
2022-04-27T13:00,2022-04-27T15:00,D3
2022-04-27T13:00,2022-04-27T15:00,D31
2022-04-27T13:00,2022-04-27T15:00,D1
2022-04-27T13:00,2022-04-27T15:00,E1
2022-04-27T13:00,2022-04-27T17:00,D3
2022-04-27T13:00,2022-04-27T17:00,D35
2022-04-27T13:00,2022-04-27T17:00,D42
2022-04-27T13:00,2022-04-27T17:00,E1
